Date,Open,High,Low,Close,Adj Close,Volume
2019-09-18,13570.838867,13664.313477,13552.004883,13561.018555,13561.018555,21500923601
2019-09-19,13564.007813,13649.998047,13061.373047,13611.212891,13611.212891,26433391055
2019-09-20,13611.084961,13642.738281,13438.896484,13504.491211,13504.491211,19542795567
2019-09-21,13507.153320,13513.054688,13264.508789,13289.721680,13289.721680,17806696605
2019-09-22,13295.555664,13368.072266,13166.497070,13362.695313,13362.695313,17515000629
2019-09-23,13359.471680,13361.059570,12900.721680,12903.613281,12903.613281,20086108772
2019-09-24,12903.609375,12982.092773,11083.945313,11414.664063,11414.664063,33106822323
2019-09-25,11391.971680,11594.461914,11038.351563,11252.607422,11252.607422,28830574257
2019-09-26,11253.503906,11300.740234,10477.895508,10774.276367,10774.276367,25556601329
2019-09-27,10766.490234,10953.702148,10549.008789,10927.646484,10927.646484,21729819277
2019-09-28,10926.889648,10971.068359,10758.964844,10918.499023,10918.499023,18724441750
2019-09-29,10918.660156,10936.187500,10577.180664,10727.672852,10727.672852,17254199244
2019-09-30,10727.726563,11010.702148,10370.430664,10983.735352,10983.735352,22666364771
2019-10-01,10991.486328,11232.776367,10882.466797,11028.660156,11028.660156,20231551854
2019-10-02,11029.897461,11187.294922,10966.901367,11187.294922,11187.294922,17495590258
2019-10-03,11184.272461,11222.222656,10865.065430,11016.516602,11016.516602,18230383158
2019-10-04,11015.852539,10992.449219,10847.632813,10920.430664,10920.430664,17485935792
2019-10-05,10926.033203,10939.917969,10747.625977,10854.660156,10854.660156,16246365075
2019-10-06,10852.498047,10860.225586,10590.683594,10629.679688,10629.679688,17512853671
2019-10-07,10630.962891,11053.005859,10517.300781,10969.423828,10969.423828,23958954912
2019-10-08,10971.056641,11102.092773,10906.301758,10963.619141,10963.619141,20774352983
2019-10-09,10965.028320,11508.290039,10896.832031,11465.651367,11465.651367,25857109340
2019-10-10,11451.699219,11461.375000,11257.615234,11409.817383,11409.817383,23411905343
2019-10-11,11408.208984,11513.221680,10977.808594,10985.167969,10985.167969,25878841690
2019-10-12,10977.125977,11112.310547,10977.750977,11008.404297,11008.404297,19190324173
2019-10-13,11008.862305,11183.483398,10926.866211,10985.474609,10985.474609,18229837338
2019-10-14,10985.246094,11097.133789,10956.832031,11076.603516,11076.603516,20039664973
2019-10-15,11074.978516,11106.189453,10805.108398,10835.034180,10835.034180,20098265692
2019-10-16,10834.117188,10849.314453,10543.352539,10625.793945,10625.793945,21220681260
2019-10-17,10626.170898,10686.125977,10510.246094,10645.508789,10645.508789,18801997567
2019-10-18,10641.596680,10682.888672,10372.775391,10466.030273,10466.030273,20545063040
2019-10-19,10466.813477,10609.663086,10428.711914,10486.183594,10486.183594,18111715827
2019-10-20,10498.321289,10877.216797,10440.673828,10798.753906,10798.753906,20363048654
2019-10-21,10802.743164,10858.705078,10727.461914,10789.374023,10789.374023,20769002647
2019-10-22,10788.956055,10863.759766,10572.822266,10577.720703,10577.720703,22002595016
2019-10-23,10575.134766,10581.192383,9765.765625,9825.057617,9825.057617,28689217093
2019-10-24,9818.593750,9847.340820,9735.076172,9795.863281,9795.863281,21267269643
2019-10-25,9792.221680,11350.629883,9768.411133,11310.355469,11310.355469,37487093224
2019-10-26,11319.335938,13088.898438,11313.818359,12074.395508,12074.395508,58114334638
2019-10-27,12070.131836,12737.009766,11904.833984,12478.580078,12478.580078,42580414022
2019-10-28,12496.069336,12801.072266,12084.364258,12084.364258,12084.364258,40404494748
2019-10-29,12074.301758,12458.431641,12087.235352,12342.578125,12342.578125,37215885466
2019-10-30,12335.738281,12410.951172,11961.344727,12119.798828,12119.798828,36477034148
2019-10-31,12115.495117,12355.568359,11888.843750,12113.838867,12113.838867,35004850427
2019-11-01,12106.473633,12204.446289,12015.491211,12185.297852,12185.297852,32005212224
2019-11-02,12183.559570,12338.802734,12170.514648,12269.370117,12269.370117,27950901161
2019-11-03,12269.460938,12325.638672,12012.163086,12135.819336,12135.819336,27769027259
2019-11-04,12136.151367,12501.519531,12089.101563,12379.937500,12379.937500,34420428723
2019-11-05,12380.455078,12440.174805,12176.457031,12289.047852,12289.047852,34461335958
2019-11-06,12286.860352,12426.479492,12271.758789,12344.248047,12344.248047,30506807148
2019-11-07,12333.057617,12342.095703,12123.244141,12209.150391,12209.150391,29905644572
2019-11-08,12206.260742,12265.542969,11607.837891,11646.656250,11646.656250,32186525798
2019-11-09,11652.725586,11761.652344,11631.157227,11658.166016,11658.166016,23252133634
2019-11-10,11656.720703,12041.448242,11647.734375,11977.563477,11977.563477,27231229868
2019-11-11,11979.404297,12020.226563,11516.360352,11592.044922,11592.044922,26823977218
2019-11-12,11594.644531,11719.847656,11497.013672,11669.407227,11669.407227,26884305394
2019-11-13,11664.603516,11711.201172,11611.553711,11673.326172,11673.326172,23252863265
2019-11-14,11678.195313,11695.894531,11517.822266,11538.417969,11538.417969,25287700331
2019-11-15,11535.254883,11543.524414,11218.236328,11227.687500,11227.687500,28818713783
2019-11-16,11226.595703,11359.909180,11203.865234,11305.387695,11305.387695,21809379635
2019-11-17,11303.682617,11541.183594,11241.246094,11343.078125,11343.078125,24686455976
2019-11-18,11337.793945,11428.767578,10927.271484,10974.439453,10974.439453,28500956415
2019-11-19,10968.956055,11160.203125,10750.676758,10891.607422,10891.607422,27983226437
2019-11-20,10888.245117,10959.030273,10657.385742,10679.678711,10679.678711,27625344409
2019-11-21,10674.857422,10769.910156,10089.041992,10149.289063,10149.289063,29898082170
2019-11-22,10150.376953,10236.364258,9224.779297,9703.353516,9703.353516,45537143646
2019-11-23,9702.804688,9900.176758,9513.281250,9841.030273,9841.030273,27947436841
2019-11-24,9842.143555,9851.830078,9347.457031,9372.228516,9372.228516,40470095656
2019-11-25,9361.669922,9737.239258,8802.486328,9506.144531,9506.144531,56782028886
2019-11-26,9504.847656,9714.070313,9419.925781,9578.901367,9578.901367,28039213056
2019-11-27,9582.231445,10123.486328,9265.853516,10006.530273,10006.530273,31874871041
2019-11-28,10013.381836,10264.376953,9897.956055,9909.885742,9909.885742,25295697528
2019-11-29,9914.693359,10334.496094,9908.928711,10308.018555,10308.018555,26177234923
2019-11-30,10311.754883,10407.440430,9982.100586,10053.528320,10053.528320,22788484824
2019-12-01,10056.166016,10058.990234,9686.642578,9863.268555,9863.268555,24870704584
2019-12-02,9862.928711,9946.368164,9625.123047,9743.003906,9743.003906,22730217465
2019-12-03,9745.647461,9861.518555,9609.623047,9730.303711,9730.303711,19669557959
2019-12-04,9730.276367,9947.728516,9461.064453,9568.081055,9568.081055,28583041219
2019-12-05,9569.673828,10203.497070,9530.476563,9814.612305,9814.612305,24793899061
2019-12-06,9817.583008,10004.185547,9798.956055,10004.185547,10004.185547,23999008969
2019-12-07,10004.541992,10061.125977,9975.969727,10016.435547,10016.435547,20484955057
2019-12-08,10009.941406,10117.151367,9907.091797,10024.043945,10024.043945,20420747899
2019-12-09,10020.664063,10085.027344,9751.283203,9797.502930,9797.502930,23659446433
2019-12-10,9792.518555,9825.323242,9589.776367,9632.227539,9632.227539,24151680335
2019-12-11,9631.006836,9648.404297,9478.956055,9507.805664,9507.805664,21539155405
